"magazine_id","State","sample_issue_date","sample_period_end_date","num_mail_subscriptions","num_single_copy_sales"
"1","Kentucky","1928-01-01","1928-06-30",,"1159"
"1","Kentucky","1928-10-01","1928-12-31","3","1088"
"1","Kentucky","1929-02-01","1929-06-30","2","1311"
"1","Kentucky","1929-11-01","1929-12-31","3","1360"
"1","Kentucky","1930-08-01","1930-12-31","8","1221"
"1","Kentucky","1930-10-01","1930-06-30","3","1302"
"1","Kentucky","1931-04-01","1931-06-30","5","784"
"7","Kentucky","1925-11-28","1925-12-31","6",
"7","Kentucky","1930-11-08","1930-12-31","212","157"
"7","Kentucky","1935-11-16","1935-12-31","375","226"
"7","Kentucky","1940-03-16","1940-06-30","577","175"
"1","Louisiana","1928-01-01","1928-06-30",,"2851"
"1","Louisiana","1928-10-01","1928-12-31","2","761"
"1","Louisiana","1929-02-01","1929-06-30","2","977"
"1","Louisiana","1929-11-01","1929-12-31","3","892"
"1","Louisiana","1930-08-01","1930-12-31","4","808"
"1","Louisiana","1930-10-01","1930-06-30","4","820"
"1","Louisiana","1931-04-01","1931-06-30","1","563"
"7","Louisiana","1925-11-28","1925-12-31","3",
"7","Louisiana","1930-11-08","1930-12-31","121","148"
"7","Louisiana","1935-11-16","1935-12-31","185","179"
"7","Louisiana","1940-03-16","1940-06-30","321","214"
"1","Maine","1928-01-01","1928-06-30",,"580"
"1","Maine","1928-10-01","1928-12-31","3","305"
"1","Maine","1929-02-01","1929-06-30","4","513"
"1","Maine","1929-11-01","1929-12-31","4","493"
"1","Maine","1930-08-01","1930-12-31","5","737"
"1","Maine","1930-10-01","1930-06-30","4","440"
"1","Maine","1931-04-01","1931-06-30","5","349"
"7","Maine","1925-11-28","1925-12-31","3",
"7","Maine","1930-11-08","1930-12-31","137","136"
"7","Maine","1935-11-16","1935-12-31","305","216"
"7","Maine","1940-03-16","1940-06-30","376","223"
"1","Maryland","1928-01-01","1928-06-30",,"1417"
"1","Maryland","1928-10-01","1928-12-31","7","1401"
"1","Maryland","1929-02-01","1929-06-30","8","1513"
"1","Maryland","1929-11-01","1929-12-31","13","1335"
"1","Maryland","1930-08-01","1930-12-31","7","1174"
"1","Maryland","1930-10-01","1930-06-30","12","1266"
"1","Maryland","1931-04-01","1931-06-30","5","852"
"7","Maryland","1925-11-28","1925-12-31","7",
"7","Maryland","1930-11-08","1930-12-31","464","599"
"7","Maryland","1935-11-16","1935-12-31","861","771"
"7","Maryland","1940-03-16","1940-06-30","1314","775"
"1","Massachusetts","1928-01-01","1928-06-30",,"4541"
"1","Massachusetts","1928-10-01","1928-12-31","19","4045"
"1","Massachusetts","1929-02-01","1929-06-30","14","4554"
"1","Massachusetts","1929-11-01","1929-12-31","12","4596"
"1","Massachusetts","1930-08-01","1930-12-31","19","3307"
"1","Massachusetts","1930-10-01","1930-06-30","14","4466"
"1","Massachusetts","1931-04-01","1931-06-30","14","2511"
"7","Massachusetts","1925-11-28","1925-12-31","66",
"7","Massachusetts","1930-11-08","1930-12-31","1908","3140"
"7","Massachusetts","1935-11-16","1935-12-31","4164","3755"
"7","Massachusetts","1940-03-16","1940-06-30","6110","3539"
